layer,eigen_index,occupation,fraction
top,57,-0.00397521117288,-0.000496901396609
top,58,-0.0050188766078,-0.000627359575975
top,59,-0.00533727209906,-0.000667159012383
top,60,-0.00592156521902,-0.000740195652377
top,61,-0.00732858012743,-0.000916072515929
top,62,-0.00784516228947,-0.000980645286184
top,63,-0.00914594546638,-0.0011432431833
top,64,-0.010368914401,-0.00129611430013
top,65,-0.0117666160845,-0.00147082701056
top,66,-0.0138633274213,-0.00173291592767
top,67,-0.0166031530141,-0.00207539412677
top,68,-0.0188261529133,-0.00235326911416
top,69,-0.0213039961743,-0.00266299952178
top,70,-0.0247486421567,-0.00309358026959
top,71,-0.0270065527618,-0.00337581909523
top,72,-0.0304921723245,-0.00381152154057
top,73,-0.0370892036215,-0.00463615045269
top,74,-0.0480716742478,-0.00600895928097
top,75,-0.0528968697324,-0.00661210871655
top,76,-0.0624436815309,-0.00780546019137
top,77,-0.0760649212468,-0.00950811515585
top,78,-0.0816286786724,-0.010203584834
top,79,-0.0998508300915,-0.0124813537614
top,80,-0.205496113178,-0.0256870141472
bottom,0,1.82424226336,0.22803028292
bottom,1,0.810793948841,0.101349243605
bottom,2,0.771866300394,0.0964832875493
bottom,3,0.624391802595,0.0780489753244
bottom,4,0.577035359304,0.072129419913
bottom,5,0.518387548791,0.0647984435989
bottom,6,0.447676317505,0.0559595396881
bottom,7,0.417946669429,0.0522433336787
bottom,8,0.384891288326,0.0481114110407
bottom,9,0.304201671599,0.0380252089499
bottom,10,0.258056814418,0.0322571018022
bottom,11,0.239274483554,0.0299093104443
bottom,12,0.207667651856,0.025958456482
bottom,13,0.199690200197,0.0249612750246
bottom,14,0.187485112432,0.0234356390541
bottom,15,0.17762167388,0.022202709235
bottom,16,0.17013227495,0.0212665343687
bottom,17,0.122929643487,0.0153662054358
bottom,18,0.114267449074,0.0142834311342
bottom,19,0.0987506527697,0.0123438315962
bottom,20,0.0924410128787,0.0115551266098
bottom,21,0.057065815679,0.00713322695988
bottom,22,0.0487165649673,0.00608957062091
bottom,23,0.0420927047107,0.00526158808883
bottom,24,0.0380842018065,0.00476052522581
bottom,25,0.0363550442589,0.00454438053237
bottom,26,0.0317495363538,0.00396869204423
bottom,27,0.0279105968609,0.00348882460762
bottom,28,0.0256320224611,0.00320400280764
bottom,29,0.0236749331861,0.00295936664826
bottom,30,0.0214217885373,0.00267772356717
bottom,31,0.0192106739899,0.00240133424874
bottom,32,0.0163287579899,0.00204109474874
bottom,33,0.0161331007113,0.00201663758892
bottom,34,0.0144674794246,0.00180843492807
bottom,35,0.012459154028,0.0015573942535
bottom,36,0.0105406795413,0.00131758494266
bottom,37,0.00888972862892,0.00111121607861
bottom,38,0.00739628204544,0.000924535255681
bottom,39,0.00678871852653,0.000848589815816
bottom,40,0.00615586496711,0.000769483120888
bottom,41,0.00554115237967,0.000692644047459
bottom,42,0.00375313337781,0.000469141672226
bottom,43,0.00333928354021,0.000417410442527
bottom,44,0.00284643646304,0.00035580455788
bottom,45,0.00258381310731,0.000322976638414
bottom,46,0.00204885960595,0.000256107450744
bottom,47,0.00147596491508,0.000184495614385
bottom,48,0.000969585255532,0.000121198156941
bottom,49,0.000365459544618,4.56824430772e-05
bottom,50,-0.000166423532214,-2.08029415268e-05
bottom,51,-0.000765142166941,-9.56427708676e-05
bottom,52,-0.00106611187952,-0.000133263984941
bottom,53,-0.00170559754919,-0.000213199693648
bottom,54,-0.00186895025687,-0.000233618782108
bottom,55,-0.00273945312189,-0.000342431640237
bottom,56,-0.00398550428778,-0.000498188035972
bottom,57,-0.00487153193517,-0.000608941491896
bottom,58,-0.00504073185354,-0.000630091481692
bottom,59,-0.00590559589381,-0.000738199486726
bottom,60,-0.00673663639899,-0.000842079549874
bottom,61,-0.00816050658314,-0.00102006332289
bottom,62,-0.00936607729048,-0.00117075966131
bottom,63,-0.0104303377768,-0.0013037922221
bottom,64,-0.0123716975772,-0.00154646219715
bottom,65,-0.0130983271018,-0.00163729088772
bottom,66,-0.0137223705799,-0.00171529632249
bottom,67,-0.0168485296751,-0.00210606620939
bottom,68,-0.0195412313643,-0.00244265392053
bottom,69,-0.0231880549002,-0.00289850686253
bottom,70,-0.0286599604666,-0.00358249505833
bottom,71,-0.0321585653818,-0.00401982067272
bottom,72,-0.0377283727243,-0.00471604659053
bottom,73,-0.0469322667782,-0.00586653334728
bottom,74,-0.0519261439725,-0.00649076799656
bottom,75,-0.0557019741939,-0.00696274677424
bottom,76,-0.062439355752,-0.007804919469
bottom,77,-0.0728682962469,-0.00910853703087
bottom,78,-0.0804659267189,-0.0100582408399
bottom,79,-0.13414306612,-0.0167678832651
bottom,80,-0.283405527359,-0.0354256909199
