layer,m1,m2,kx,ky,occupation
top,4,0,4.13486431176,0,0.0397712013667
top,4,1,4.13486431176,1.03371607794,0.0329715777234
top,4,2,4.13486431176,2.06743215588,0.022307803735
top,4,3,4.13486431176,3.10114823382,0.0100060133172
top,4,4,4.13486431176,4.13486431176,0.0124143181252
bottom,-4,-4,-4.13486431176,-4.13486431176,-0.00237346694473
bottom,-4,-3,-4.13486431176,-3.10114823382,0.00732904087785
bottom,-4,-2,-4.13486431176,-2.06743215588,0.0207249783827
bottom,-4,-1,-4.13486431176,-1.03371607794,0.0159929646543
bottom,-4,0,-4.13486431176,0,0.021133674838
bottom,-4,1,-4.13486431176,1.03371607794,0.0246253397244
bottom,-4,2,-4.13486431176,2.06743215588,0.0145412096245
bottom,-4,3,-4.13486431176,3.10114823382,0.00300487306529
bottom,-4,4,-4.13486431176,4.13486431176,0.00653565066409
bottom,-3,-4,-3.10114823382,-4.13486431176,-0.00615236340797
bottom,-3,-3,-3.10114823382,-3.10114823382,0.0251636595635
bottom,-3,-2,-3.10114823382,-2.06743215588,0.0559280438887
bottom,-3,-1,-3.10114823382,-1.03371607794,0.0913652177548
bottom,-3,0,-3.10114823382,0,0.107572357469
bottom,-3,1,-3.10114823382,1.03371607794,0.0871494542378
bottom,-3,2,-3.10114823382,2.06743215588,0.0547955475184
bottom,-3,3,-3.10114823382,3.10114823382,0.0245405711342
bottom,-3,4,-3.10114823382,4.13486431176,0.0104963649575
bottom,-2,-4,-2.06743215588,-4.13486431176,0.00901330815235
bottom,-2,-3,-2.06743215588,-3.10114823382,0.0621255208693
bottom,-2,-2,-2.06743215588,-2.06743215588,0.156723731463
bottom,-2,-1,-2.06743215588,-1.03371607794,0.265891961038
bottom,-2,0,-2.06743215588,0,0.313100281657
bottom,-2,1,-2.06743215588,1.03371607794,0.249225325795
bottom,-2,2,-2.06743215588,2.06743215588,0.155034968117
bottom,-2,3,-2.06743215588,3.10114823382,0.0597410222131
bottom,-2,4,-2.06743215588,4.13486431176,0.016045012412
bottom,-1,-4,-1.03371607794,-4.13486431176,0.0305226369281
bottom,-1,-3,-1.03371607794,-3.10114823382,0.112965885667
bottom,-1,-2,-1.03371607794,-2.06743215588,0.265078566987
bottom,-1,-1,-1.03371607794,-1.03371607794,0.462967466708
bottom,-1,0,-1.03371607794,0,0.579344954636
bottom,-1,1,-1.03371607794,1.03371607794,0.45915770598
bottom,-1,2,-1.03371607794,2.06743215588,0.261095537828
bottom,-1,3,-1.03371607794,3.10114823382,0.117325126501
bottom,-1,4,-1.03371607794,4.13486431176,0.0327953988466
bottom,0,-4,0,-4.13486431176,0.0314470497976
bottom,0,-3,0,-3.10114823382,0.136613911171
bottom,0,-2,0,-2.06743215588,0.328270440189
bottom,0,-1,0,-1.03371607794,0.572518288219
bottom,0,0,0,0,0.964567542476
bottom,0,1,0,1.03371607794,0.572518288219
bottom,0,2,0,2.06743215588,0.328270440189
bottom,0,3,0,3.10114823382,0.136613911171
bottom,0,4,0,4.13486431176,0.0314470497976
bottom,1,-4,1.03371607794,-4.13486431176,0.0327953988466
bottom,1,-3,1.03371607794,-3.10114823382,0.117325126501
bottom,1,-2,1.03371607794,-2.06743215588,0.261095537828
bottom,1,-1,1.03371607794,-1.03371607794,0.45915770598
bottom,1,0,1.03371607794,0,0.579344954636
bottom,1,1,1.03371607794,1.03371607794,0.462967466708
bottom,1,2,1.03371607794,2.06743215588,0.265078566987
bottom,1,3,1.03371607794,3.10114823382,0.112965885667
bottom,1,4,1.03371607794,4.13486431176,0.0305226369281
bottom,2,-4,2.06743215588,-4.13486431176,0.016045012412
bottom,2,-3,2.06743215588,-3.10114823382,0.0597410222131
bottom,2,-2,2.06743215588,-2.06743215588,0.155034968117
bottom,2,-1,2.06743215588,-1.03371607794,0.249225325795
bottom,2,0,2.06743215588,0,0.313100281657
bottom,2,1,2.06743215588,1.03371607794,0.265891961038
bottom,2,2,2.06743215588,2.06743215588,0.156723731463
bottom,2,3,2.06743215588,3.10114823382,0.0621255208693
bottom,2,4,2.06743215588,4.13486431176,0.00901330815235
bottom,3,-4,3.10114823382,-4.13486431176,0.0104963649575
bottom,3,-3,3.10114823382,-3.10114823382,0.0245405711342
bottom,3,-2,3.10114823382,-2.06743215588,0.0547955475184
bottom,3,-1,3.10114823382,-1.03371607794,0.0871494542378
bottom,3,0,3.10114823382,0,0.107572357469
bottom,3,1,3.10114823382,1.03371607794,0.0913652177548
bottom,3,2,3.10114823382,2.06743215588,0.0559280438887
bottom,3,3,3.10114823382,3.10114823382,0.0251636595635
bottom,3,4,3.10114823382,4.13486431176,-0.00615236340797
bottom,4,-4,4.13486431176,-4.13486431176,0.00653565066409
bottom,4,-3,4.13486431176,-3.10114823382,0.00300487306529
bottom,4,-2,4.13486431176,-2.06743215588,0.0145412096245
bottom,4,-1,4.13486431176,-1.03371607794,0.0246253397244
bottom,4,0,4.13486431176,0,0.021133674838
bottom,4,1,4.13486431176,1.03371607794,0.0159929646543
bottom,4,2,4.13486431176,2.06743215588,0.0207249783827
bottom,4,3,4.13486431176,3.10114823382,0.00732904087785
bottom,4,4,4.13486431176,4.13486431176,-0.00237346694473
