layer,m1,m2,kx,ky,occupation
bottom,-3,-1,-2.17080376367,-0.723601254558,0.0538855807012
bottom,-3,0,-2.17080376367,0,0.0901147314224
bottom,-3,1,-2.17080376367,0.723601254558,0.0913252955389
bottom,-3,2,-2.17080376367,1.44720250912,0.0410171219601
bottom,-3,3,-2.17080376367,2.17080376367,0.0177669540847
bottom,-3,4,-2.17080376367,2.89440501823,0.00930211862975
bottom,-2,-4,-1.44720250912,-2.89440501823,0.0113264221507
bottom,-2,-3,-1.44720250912,-2.17080376367,0.0335544931349
bottom,-2,-2,-1.44720250912,-1.44720250912,0.0996586726304
bottom,-2,-1,-1.44720250912,-0.723601254558,0.250489051387
bottom,-2,0,-1.44720250912,0,0.318473691489
bottom,-2,1,-1.44720250912,0.723601254558,0.234805075053
bottom,-2,2,-1.44720250912,1.44720250912,0.102465954789
bottom,-2,3,-1.44720250912,2.17080376367,0.032841326367
bottom,-2,4,-1.44720250912,2.89440501823,0.00212573912221
bottom,-1,-4,-0.723601254558,-2.89440501823,0.0269332174094
bottom,-1,-3,-0.723601254558,-2.17080376367,0.0787426646458
bottom,-1,-2,-0.723601254558,-1.44720250912,0.23498613927
bottom,-1,-1,-0.723601254558,-0.723601254558,0.486122179258
bottom,-1,0,-0.723601254558,0,0.661184010094
bottom,-1,1,-0.723601254558,0.723601254558,0.499105401008
bottom,-1,2,-0.723601254558,1.44720250912,0.244237493594
bottom,-1,3,-0.723601254558,2.17080376367,0.0809424591246
bottom,-1,4,-0.723601254558,2.89440501823,0.0211298281196
bottom,0,-4,0,-2.89440501823,0.0173721734669
bottom,0,-3,0,-2.17080376367,0.0822175750538
bottom,0,-2,0,-1.44720250912,0.286556958886
bottom,0,-1,0,-0.723601254558,0.693629912534
bottom,0,0,0,0,2.18963737199
bottom,0,1,0,0.723601254558,0.693629912534
bottom,0,2,0,1.44720250912,0.286556958886
bottom,0,3,0,2.17080376367,0.0822175750538
bottom,0,4,0,2.89440501823,0.0173721734669
bottom,1,-4,0.723601254558,-2.89440501823,0.0211298281196
bottom,1,-3,0.723601254558,-2.17080376367,0.0809424591246
bottom,1,-2,0.723601254558,-1.44720250912,0.244237493594
bottom,1,-1,0.723601254558,-0.723601254558,0.499105401008
bottom,1,0,0.723601254558,0,0.661184010094
bottom,1,1,0.723601254558,0.723601254558,0.486122179258
bottom,1,2,0.723601254558,1.44720250912,0.23498613927
bottom,1,3,0.723601254558,2.17080376367,0.0787426646458
bottom,1,4,0.723601254558,2.89440501823,0.0269332174094
bottom,2,-4,1.44720250912,-2.89440501823,0.00212573912221
bottom,2,-3,1.44720250912,-2.17080376367,0.032841326367
bottom,2,-2,1.44720250912,-1.44720250912,0.102465954789
bottom,2,-1,1.44720250912,-0.723601254558,0.234805075053
bottom,2,0,1.44720250912,0,0.318473691489
bottom,2,1,1.44720250912,0.723601254558,0.250489051387
bottom,2,2,1.44720250912,1.44720250912,0.0996586726304
bottom,2,3,1.44720250912,2.17080376367,0.0335544931349
bottom,2,4,1.44720250912,2.89440501823,0.0113264221507
bottom,3,-4,2.17080376367,-2.89440501823,0.00930211862975
