layer,m1,m2,kx,ky,occupation
bottom,-3,2,-2.71350470459,1.8090031364,0.0415521725719
bottom,-3,3,-2.71350470459,2.71350470459,0.0150024078694
bottom,-3,4,-2.71350470459,3.61800627279,0.00250520566307
bottom,-2,-4,-1.8090031364,-3.61800627279,0.0113463477734
bottom,-2,-3,-1.8090031364,-2.71350470459,0.0275872603418
bottom,-2,-2,-1.8090031364,-1.8090031364,0.135073827479
bottom,-2,-1,-1.8090031364,-0.904501568198,0.264646910208
bottom,-2,0,-1.8090031364,0,0.296129183258
bottom,-2,1,-1.8090031364,0.904501568198,0.242945749186
bottom,-2,2,-1.8090031364,1.8090031364,0.134012202278
bottom,-2,3,-1.8090031364,2.71350470459,0.0397973407233
bottom,-2,4,-1.8090031364,3.61800627279,0.0114691011135
bottom,-1,-4,-0.904501568198,-3.61800627279,0.0163337480604
bottom,-1,-3,-0.904501568198,-2.71350470459,0.0896351122379
bottom,-1,-2,-0.904501568198,-1.8090031364,0.237132036693
bottom,-1,-1,-0.904501568198,-0.904501568198,0.478473312591
bottom,-1,0,-0.904501568198,0,0.6611563656
bottom,-1,1,-0.904501568198,0.904501568198,0.515940976349
bottom,-1,2,-0.904501568198,1.8090031364,0.253752786681
bottom,-1,3,-0.904501568198,2.71350470459,0.067128238921
bottom,-1,4,-0.904501568198,3.61800627279,0.0193033325372
bottom,0,-4,0,-3.61800627279,0.029184031936
bottom,0,-3,0,-2.71350470459,0.107171793448
bottom,0,-2,0,-1.8090031364,0.310517227086
bottom,0,-1,0,-0.904501568198,0.643946287397
bottom,0,0,0,0,1.79615942785
bottom,0,1,0,0.904501568198,0.643946287397
bottom,0,2,0,1.8090031364,0.310517227086
bottom,0,3,0,2.71350470459,0.107171793448
bottom,0,4,0,3.61800627279,0.029184031936
bottom,1,-4,0.904501568198,-3.61800627279,0.0193033325372
bottom,1,-3,0.904501568198,-2.71350470459,0.067128238921
bottom,1,-2,0.904501568198,-1.8090031364,0.253752786681
bottom,1,-1,0.904501568198,-0.904501568198,0.515940976349
bottom,1,0,0.904501568198,0,0.6611563656
bottom,1,1,0.904501568198,0.904501568198,0.478473312591
bottom,1,2,0.904501568198,1.8090031364,0.237132036693
bottom,1,3,0.904501568198,2.71350470459,0.0896351122379
bottom,1,4,0.904501568198,3.61800627279,0.0163337480604
bottom,2,-4,1.8090031364,-3.61800627279,0.0114691011135
bottom,2,-3,1.8090031364,-2.71350470459,0.0397973407233
bottom,2,-2,1.8090031364,-1.8090031364,0.134012202278
bottom,2,-1,1.8090031364,-0.904501568198,0.242945749186
bottom,2,0,1.8090031364,0,0.296129183258
bottom,2,1,1.8090031364,0.904501568198,0.264646910208
bottom,2,2,1.8090031364,1.8090031364,0.135073827479
bottom,2,3,1.8090031364,2.71350470459,0.0275872603418
bottom,2,4,1.8090031364,3.61800627279,0.0113463477734
bottom,3,-4,2.71350470459,-3.61800627279,0.00250520566307
bottom,3,-3,2.71350470459,-2.71350470459,0.0150024078694
bottom,3,-2,2.71350470459,-1.8090031364,0.0415521725719
bottom,3,-1,2.71350470459,-0.904501568198,0.0734089183759
bottom,3,0,2.71350470459,0,0.0915592104318
bottom,3,1,2.71350470459,0.904501568198,0.0900182050708
bottom,3,2,2.71350470459,1.8090031364,0.0266194295818
bottom,3,3,2.71350470459,2.71350470459,0.00992145982389
bottom,3,4,2.71350470459,3.61800627279,0.00692541577418
bottom,4,-4,3.61800627279,-3.61800627279,0.0121356778685
bottom,4,-3,3.61800627279,-2.71350470459,0.00615064950254
bottom,4,-2,3.61800627279,-1.8090031364,0.0162677614414
bottom,4,-1,3.61800627279,-0.904501568198,0.0143278921342
bottom,4,0,3.61800627279,0,0.0161041426293
bottom,4,1,3.61800627279,0.904501568198,0.011030444375
bottom,4,2,3.61800627279,1.8090031364,0.00763342720613
bottom,4,3,3.61800627279,2.71350470459,-0.0049403593588
bottom,4,4,3.61800627279,3.61800627279,-0.00443389619793
