r,top_top,bottom_bottom,top_bottom
2.197938810720737879e-01,1.170056273159296278e+00,1.230094146067761685e+00,1.008363365439906678e+00
2.252208904812607881e-01,1.420170237679940550e+00,1.378890090124311740e+00,1.003373909134397834e+00
2.306478998904478162e-01,1.541488439832039647e+00,1.570744863194520224e+00,1.010321820117667357e+00
2.360749092996348164e-01,1.765847468851651003e+00,1.744250773189436554e+00,9.912248112025184854e-01
2.415019187088218167e-01,1.908095896228909183e+00,1.947834958174451181e+00,1.015829770982914271e+00
2.469289281180088169e-01,2.073240902456230828e+00,2.011906007568100119e+00,1.025082203674902770e+00
2.523559375271958727e-01,2.187905094326314082e+00,2.194441475651025986e+00,9.967981520185745792e-01
2.577829469363828174e-01,2.202341427433908372e+00,2.200596307443865474e+00,1.004898260932930887e+00
2.632099563455698732e-01,2.251504635950634103e+00,2.239540669008588392e+00,9.810452892477206088e-01
2.686369657547568179e-01,2.220532981269506045e+00,2.205461490446409822e+00,1.009231681783626655e+00
2.740639751639438737e-01,2.161788985685085152e+00,2.133884344260144950e+00,1.024538060160800290e+00
2.794909845731308184e-01,2.108545463697245381e+00,2.030749257021392751e+00,9.906944525997363193e-01
2.849179939823178742e-01,1.883122970842579402e+00,1.909438272279731175e+00,1.003928749827339262e+00
2.903450033915049300e-01,1.780267032832823837e+00,1.774585878971158159e+00,9.916195831270733230e-01
2.957720128006918747e-01,1.620346579133854714e+00,1.629979428008555331e+00,9.967463625084975742e-01
3.011990222098789305e-01,1.509502588384092459e+00,1.467682595829915781e+00,9.862548244026673183e-01
3.066260316190658752e-01,1.299393694060859250e+00,1.283744240462836084e+00,1.002054075698419533e+00
3.120530410282529310e-01,1.063916195668648701e+00,1.150893987636139926e+00,9.964002853292426298e-01
3.174800504374398757e-01,9.923567647081921184e-01,9.753530314718784622e-01,1.006998868328351060e+00
3.229070598466269315e-01,8.228949555288184170e-01,8.447211761325736923e-01,9.872881915656139817e-01
3.283340692558139873e-01,6.955721370780445501e-01,7.019661028817822945e-01,9.862692252265510273e-01
3.337610786650009320e-01,6.060863206610409559e-01,6.173184615183620050e-01,1.004827321095936421e+00
3.391880880741879878e-01,5.256534092673996739e-01,5.451056800897424726e-01,9.969288796450684886e-01
