r,top_top,bottom_bottom,top_bottom
8.547539819469536226e-01,3.850805776969907224e-01,3.956066982718515201e-01,1.002612984755490766e+00
8.818890289928886794e-01,4.752543439549652415e-01,5.109621837512238196e-01,1.039778287400576984e+00
9.090240760388237362e-01,6.037594234207462884e-01,5.955113438658180547e-01,9.852331028361768217e-01
9.361591230847587930e-01,6.407203828176163407e-01,6.487293876028366046e-01,1.019946759397793112e+00
9.632941701306937388e-01,7.814532612688896984e-01,7.573247243173601984e-01,1.016122741620055336e+00
9.904292171766289066e-01,8.940353300586364460e-01,8.698108333932034197e-01,1.013265274583814435e+00
1.017564264222563963e+00,1.001349850286515464e+00,9.785081686390673106e-01,1.000613021846275208e+00
1.044699311268498798e+00,1.083711959184530338e+00,1.092324239654871132e+00,9.771349883640649825e-01
1.071834358314433855e+00,1.187786099551856545e+00,1.161204314049518294e+00,9.964671960021317387e-01
1.098969405360368912e+00,1.236916631625539997e+00,1.245103614294876149e+00,1.006998868328349284e+00
1.126104452406303968e+00,1.291003324360711302e+00,1.383550751945104906e+00,9.913893501666318775e-01
1.153239499452239025e+00,1.458920311675707904e+00,1.439416029434054112e+00,9.852913245742136450e-01
1.180374546498174082e+00,1.417759550531250357e+00,1.460317744924437555e+00,1.007422332949176935e+00
1.207509593544109139e+00,1.505116971187396846e+00,1.458547757969965053e+00,1.000306699910435748e+00
1.234644640590044196e+00,1.538230581699370658e+00,1.559485248244762534e+00,9.886456324542342022e-01
1.261779687635979252e+00,1.537832260759501191e+00,1.575862115739643299e+00,1.011653564120189586e+00
1.288914734681914309e+00,1.538032417890973891e+00,1.503130018090119702e+00,9.833751143890663293e-01
1.316049781727849144e+00,1.550758000773703849e+00,1.571837371100164749e+00,1.027476875237095744e+00
1.343184828773784201e+00,1.546223317776900030e+00,1.511056505856342325e+00,1.017325630558989280e+00
1.370319875819719257e+00,1.505756337283055357e+00,1.468550148716468273e+00,1.019340136758114967e+00
1.397454922865654314e+00,1.450765123113825217e+00,1.411062231430976421e+00,9.893531386915287440e-01
1.424589969911589371e+00,1.399447730427746839e+00,1.368395674731907263e+00,9.715609290596541880e-01
1.451725016957524428e+00,1.352631087609267757e+00,1.341785248418815524e+00,9.978172055216133485e-01
1.478860064003459485e+00,1.231990671869606091e+00,1.235539616191864143e+00,9.969998585315145156e-01
1.505995111049394541e+00,1.187389074306081094e+00,1.179921218492835377e+00,9.887441096737430435e-01
1.533130158095329598e+00,1.180066610375933633e+00,1.136052522131493436e+00,1.013546643184468410e+00
1.560265205141264655e+00,1.102359418637702149e+00,1.124944812132023131e+00,9.913546123145507982e-01
1.587400252187199712e+00,1.017390038639440331e+00,1.055648438421146196e+00,9.744083796254249252e-01
1.614535299233134547e+00,9.626756449273439209e-01,9.673195216515472206e-01,9.944862004881365181e-01
1.641670346279069603e+00,9.111401270326285884e-01,9.207310757382352051e-01,1.019837545696170356e+00
1.668805393325004660e+00,8.617298465736648039e-01,8.922812697055778619e-01,1.007972320535983846e+00
1.695940440370939717e+00,8.377739365531720050e-01,8.152269862818201096e-01,9.918447634074096797e-01
1.723075487416874774e+00,8.115265990441384858e-01,7.897698537614538106e-01,9.988521759280535317e-01
1.750210534462809830e+00,7.646737010632884690e-01,7.805240803010149442e-01,1.016352020040701465e+00
1.777345581508744887e+00,7.044867338938332058e-01,7.648110470356405122e-01,9.913436075751546062e-01
1.804480628554679944e+00,6.872448722691997247e-01,7.283798434630636143e-01,1.014870375161741611e+00
1.831615675600615001e+00,7.077646517641121848e-01,7.278227593039857668e-01,1.016209223831352482e+00
1.858750722646550058e+00,7.022727998859235043e-01,6.796838987982659619e-01,1.021744400982793843e+00
1.885885769692484892e+00,6.850119078420698893e-01,6.945535710969797938e-01,9.895499933946094728e-01
1.913020816738419949e+00,6.913645577573461765e-01,7.199754493198667893e-01,9.904071640888967298e-01
1.940155863784355006e+00,7.002446505500030671e-01,7.357979109532041262e-01,9.931726003937682012e-01
1.967290910830290063e+00,7.245056197741704951e-01,7.233622652979355694e-01,9.975767805149349243e-01
1.994425957876225119e+00,7.616400101667070155e-01,7.308135141974719806e-01,9.903951662310905846e-01
2.021561004922160176e+00,7.402900503622027450e-01,7.962939569777801596e-01,9.867443281506214081e-01
2.048696051968095233e+00,8.219784818441780994e-01,7.875768891044840903e-01,1.025094268764711991e+00
2.075831099014029846e+00,8.296543760940492396e-01,8.018427143790985978e-01,9.782842305836885188e-01
2.102966146059965347e+00,8.856202478500632136e-01,8.767070005890923445e-01,1.020923341271600782e+00
2.130101193105899959e+00,8.789143066623801293e-01,9.028494980332418818e-01,1.006158007847182123e+00
2.157236240151835460e+00,9.404989430613863721e-01,9.370233372111964609e-01,1.013660446207883759e+00
