layer,eigen_index,occupation,fraction
top,65,-0.00592675793889,-0.000493896494907
top,66,-0.00700848720641,-0.000584040600534
top,67,-0.00888382205137,-0.000740318504281
top,68,-0.0139284183451,-0.00116070152876
top,69,-0.017844445437,-0.00148703711975
top,70,-0.0225577037957,-0.00187980864964
top,71,-0.0394809567391,-0.00329007972826
top,72,-0.0448363711294,-0.00373636426078
top,73,-0.0505282729899,-0.00421068941583
top,74,-0.0599653957348,-0.00499711631124
top,75,-0.0844758853271,-0.00703965711059
top,76,-0.0965596933643,-0.0080466411137
top,77,-0.112003168942,-0.00933359741187
top,78,-0.127114196105,-0.0105928496754
top,79,-0.132438632844,-0.011036552737
top,80,-0.146151951134,-0.0121793292611
bottom,0,1.36325480652,0.11360456721
bottom,1,1.34053587921,0.111711323268
bottom,2,1.22890720508,0.102408933757
bottom,3,0.884575199299,0.0737145999416
bottom,4,0.843601493729,0.0703001244774
bottom,5,0.654221139442,0.0545184282868
bottom,6,0.635591283654,0.0529659403045
bottom,7,0.58215472387,0.0485128936559
bottom,8,0.54814703524,0.0456789196034
bottom,9,0.536215082803,0.0446845902336
bottom,10,0.465349793968,0.0387791494973
bottom,11,0.353164930688,0.0294304108906
bottom,12,0.154294199024,0.0128578499187
bottom,13,0.13950965891,0.0116258049092
bottom,14,0.12921005308,0.0107675044234
bottom,15,0.103244184038,0.0086036820032
bottom,16,0.0970380794274,0.00808650661895
bottom,17,0.0943486599769,0.00786238833141
bottom,18,0.0907025662808,0.00755854719007
bottom,19,0.0857357386458,0.00714464488715
bottom,20,0.0842728838929,0.00702274032441
bottom,21,0.0716732390511,0.00597276992093
bottom,22,0.070001594894,0.00583346624117
bottom,23,0.0667079705658,0.00555899754715
bottom,24,0.0644216060074,0.00536846716728
bottom,25,0.0602208843129,0.00501840702607
bottom,26,0.0558110649107,0.00465092207589
bottom,27,0.0520742972996,0.00433952477497
bottom,28,0.0464598304169,0.00387165253474
bottom,29,0.0394063648808,0.00328386374007
bottom,30,0.0382211309336,0.00318509424447
bottom,31,0.0350965338469,0.00292471115391
bottom,32,0.0326502344704,0.00272085287253
bottom,33,0.0259262857266,0.00216052381055
bottom,34,0.0218681042335,0.00182234201946
bottom,35,0.0176531564925,0.00147109637437
bottom,36,0.0167212644857,0.00139343870715
bottom,37,0.0130210971874,0.00108509143228
bottom,38,0.0124645056469,0.00103870880391
bottom,39,0.0120866455923,0.00100722046602
bottom,40,0.0108204462835,0.000901703856957
bottom,41,0.00929614042816,0.000774678369013
bottom,42,0.00754156304417,0.000628463587014
bottom,43,0.00650004582159,0.000541670485132
bottom,44,0.00640461481484,0.000533717901236
bottom,45,0.00516096539405,0.000430080449504
bottom,46,0.00431880725845,0.000359900604871
bottom,47,0.00372415360211,0.000310346133509
bottom,48,0.00309637974062,0.000258031645051
bottom,49,0.00250712980518,0.000208927483765
bottom,50,0.00189468487855,0.000157890406546
bottom,51,0.00169641851609,0.000141368209674
bottom,52,0.0012336192553,0.000102801604608
bottom,53,0.00116635463663,9.71962197192e-05
bottom,54,0.000399513728918,3.32928107432e-05
bottom,55,-0.000263124156737,-2.19270130614e-05
bottom,56,-0.000427341567516,-3.5611797293e-05
bottom,57,-0.00155593699859,-0.000129661416549
bottom,58,-0.00176569485615,-0.000147141238013
bottom,59,-0.0024959031033,-0.000207991925275
bottom,60,-0.00353916741951,-0.000294930618292
bottom,61,-0.00428741826223,-0.000357284855186
bottom,62,-0.00480414874182,-0.000400345728485
bottom,63,-0.00601160449079,-0.0005009670409
bottom,64,-0.00721176359866,-0.000600980299888
bottom,65,-0.00896567153011,-0.000747139294176
bottom,66,-0.0108808077643,-0.000906733980355
bottom,67,-0.0152693186194,-0.00127244321829
